Region,Country,Year,Diversity_rank,RDI_score,Diveristy_level,Buddhists,Christians,Hindus,Jews,Muslims,Other_Religions,Religiously_Unaffiliated,Level,Countrycode
Europe,Croatia,2010,139,1.4058566,Low,.022235209,93.652382,.011464562,.012186487,1.5408552,.088707931,4.6721716,1,191
Europe,Croatia,2020,131,1.9804337,Low,.022288118,90.857826,.011706879,.015337282,1.3726027,1.0624112,6.6578279,1,191
Latin America-Caribbean,Cuba,2010,13,6.637464,High,.049995001,58.794125,.209979,.0099990005,.079992004,17.318268,23.537645,1,192
Latin America-Caribbean,Cuba,2020,19,6.4770961,High,.049995001,60.653938,.209979,.0099990005,.079992004,17.388262,21.60784,1,192
Latin America-Caribbean,Curacao,2010,120,2.0327311,Moderate,.31371662,90.655739,1.9998114,.19380616,.49225879,.46207175,5.8825932,1,531
Latin America-Caribbean,Curacao,2020,129,2.0398643,Moderate,.34867412,90.619469,1.9868361,.19414404,.49680507,.4278467,5.926228,1,531
Asia-Pacific,Cyprus,2010,32,5.7819734,High,.63734555,65.536774,.28326467,.041759547,26.575148,.44250372,6.4832015,1,196
Asia-Pacific,Cyprus,2020,41,5.5684943,High,.55755907,67.748779,.26665869,.043770704,24.358803,.45433971,6.5700898,1,196
Europe,Czech Republic,2010,49,5.1328926,Moderate,.10582662,30.028788,.02276182,.025552209,.18958887,1.0898038,68.537682,1,203
Europe,Czech Republic,2020,64,4.6670709,Moderate,.068411015,26.412758,.016849395,.025813969,.32713088,.33561009,72.813423,1,203
Sub-Saharan Africa,Democratic Republic of the Congo,2010,162,.79805595,Very low,.00021310718,96.497223,.0015777571,.00015062225,1.2053837,.87362647,1.4218279,1,180
Sub-Saharan Africa,Democratic Republic of the Congo,2020,164,.85056812,Very low,.00015326613,96.261513,.0011975729,.00010769692,1.2705512,1.2909249,1.1755552,1,180
Europe,Denmark,2010,72,3.9095764,Moderate,.49856788,80.167229,.30498925,.14867795,3.1946962,1.188699,14.497139,1,208
Europe,Denmark,2020,71,4.4208703,Moderate,.6564796,76.906235,.43512353,.1061272,4.2191048,1.0460204,16.630907,1,208
Sub-Saharan Africa,Djibouti,2010,174,.59226364,Very low,0,1.3455226,.040002666,0,97.412949,.086572863,1.1149532,1,262
Sub-Saharan Africa,Djibouti,2020,177,.53402215,Very low,0,1.100099,.039979678,0,97.672073,.086538285,1.1013136,1,262
Latin America-Caribbean,Dominican Republic,2010,89,2.9926517,Moderate,.034063864,84.921181,.0075697475,.0010229389,.019640427,.074783213,14.941742,1,214
Latin America-Caribbean,Dominican Republic,2020,75,4.1779876,Moderate,.042546757,77.636581,.006363831,.00090911874,.024818944,2.6876893,19.601089,1,214
Latin America-Caribbean,Ecuador,2010,154,.99071163,Very low,.017078524,95.564507,.0086726882,.0040027793,.014276578,.12203257,4.269434,1,218
Latin America-Caribbean,Ecuador,2020,119,2.4312751,Moderate,.022002894,88.523621,.007959703,.0034113014,.018136753,3.0334721,8.3913965,1,218
Middle East-North Africa,Egypt,2010,149,1.1279019,Low,.000020952262,5.0845184,.000062854233,.00039639289,94.907188,.0032302835,.0045844004,1,818
Middle East-North Africa,Egypt,2020,160,1.0720915,Low,.000054033269,4.8214159,.00017096053,.00021422911,95.172569,.00092300586,.0046525225,1,818
Latin America-Caribbean,El Salvador,2010,110,2.4038365,Moderate,.006542325,88.342804,.0017991393,.0016355813,.0032711625,.019954091,11.623993,1,222
Latin America-Caribbean,El Salvador,2020,110,2.6482811,Moderate,.0066743675,87.108383,.0019069621,.0015891352,.0034960972,.99595374,11.881999,1,222
Sub-Saharan Africa,Equatorial Guinea,2010,109,2.437829,Moderate,.0027409163,88.680359,.049927875,.003654555,4.0480719,2.2279441,4.9873009,1,226
Sub-Saharan Africa,Equatorial Guinea,2020,117,2.4383256,Moderate,.04323177,88.680367,.049927894,.062654741,4.048059,2.1284556,4.9873013,1,226
Sub-Saharan Africa,Eritrea,2010,25,6.0122695,High,.00095306867,47.070545,.026635762,.00031768956,51.279331,.58336759,1.0388511,1,232
Sub-Saharan Africa,Eritrea,2020,29,6.0090423,High,.00084367587,46.671173,.030002009,.00028122528,51.669579,.56696767,1.061152,1,232
Europe,Estonia,2010,22,6.0924635,High,.12559561,61.185711,.058804311,.20576243,.49873573,6.4183912,31.507,1,233
Europe,Estonia,2020,23,6.209424,High,.19614619,52.613861,.062808216,.13539495,.59811503,2.7907958,43.602879,1,233
Sub-Saharan Africa,Eswatini,2010,135,1.5223757,Low,.023638083,93.131485,.13637355,.01818314,.33638811,2.3661804,3.9877505,1,748
Sub-Saharan Africa,Eswatini,2020,144,1.4821692,Low,.022890331,93.228432,.12716851,.0169558,.13570014,.31287941,6.1559772,1,748
Sub-Saharan Africa,Ethiopia,2010,37,5.6813688,High,.0011722796,62.553902,.0024685375,.00626561,34.793762,2.5796776,.062757298,1,231
Sub-Saharan Africa,Ethiopia,2020,37,5.7053571,High,.0011632845,61.578274,.0024225907,.0047765425,36.240177,2.1108611,.062328305,1,231
Asia-Pacific,Federated States of Micronesia,2010,185,.28051862,Very low,.083652839,98.787056,.0087445667,0,.0019320667,.41795793,.70065385,1,583
Asia-Pacific,Federated States of Micronesia,2020,184,.27681014,Very low,.083652839,98.803261,.0086263521,0,.0019576938,.41783303,.68467122,1,583
Asia-Pacific,Fiji,2010,34,5.7525878,High,.061866861,65.530617,27.111206,.018781014,6.268487,.7539714,.25507116,1,242
Asia-Pacific,Fiji,2020,50,5.3112178,Moderate,.064101033,69.519974,24.102961,.020642705,5.7803707,.26062152,.2513335,1,242
Europe,Finland,2010,81,3.5341325,Moderate,.16879702,81.824219,.062930189,.051536109,.81858814,.50342172,16.570513,1,246
Europe,Finland,2020,59,4.8352709,Moderate,.31453785,72.284973,.14736658,.062084883,1.6101946,.5336256,25.047218,1,246
Europe,France,2010,17,6.4236612,High,.51791173,57.096737,.096085221,.77188462,6.6259718,.40919501,34.482212,1,250
Europe,France,2020,10,6.9279718,High,.71300137,46.467613,.12776679,.69168675,9.0978174,.25636187,42.645752,1,250
Latin America-Caribbean,French Guiana,2010,87,3.2175226,Moderate,.59968442,84.533211,1.5638379,.045013648,.89661628,9.0307341,3.3309028,1,254
Latin America-Caribbean,French Guiana,2020,91,3.2783892,Moderate,.60143763,84.197906,1.6000295,.040511314,.91736352,9.2351112,3.4076378,1,254
Asia-Pacific,French Polynesia,2010,138,1.430933,Low,.092329718,93.531761,.070475146,.057008281,.36999449,.95634687,4.9220858,1,258
Asia-Pacific,French Polynesia,2020,145,1.4482787,Low,.093618087,93.446098,.062930681,.053901326,.32458982,.9833445,5.0355182,1,258
Sub-Saharan Africa,Gabon,2010,93,2.9246364,Moderate,0,86.036095,0,0,5.4487634,.72084016,7.7942996,1,266
Sub-Saharan Africa,Gabon,2020,90,3.3551731,Moderate,0,83.74292,0,0,8.6376791,1.8573627,5.7620401,1,266
Sub-Saharan Africa,Gambia,2010,160,.84832829,Very low,0,3.4565878,.072679408,0,96.233383,.20647559,.030874807,1,270
Sub-Saharan Africa,Gambia,2020,166,.67911404,Very low,0,2.8933675,.066045195,0,97.002708,.019944005,.017932352,1,270
Europe,Georgia,2010,111,2.3797371,Moderate,.011128976,88.578781,.011311418,.048188806,10.666319,.24665494,.43761748,1,268
Europe,Georgia,2020,115,2.4675999,Moderate,.011647883,88.172623,.012154249,.044509161,10.46078,.30997789,.98830873,1,268
Europe,Germany,2010,27,5.9365935,High,.32204387,62.230301,.12623432,.1463263,5.1418014,.21734415,31.815948,1,276
Europe,Germany,2020,20,6.4023767,High,.34375194,56.234879,.15651976,.14160739,6.5487413,.4268007,36.147697,1,276
Sub-Saharan Africa,Ghana,2010,46,5.3327093,Moderate,0,71.087952,0,0,17.667557,5.9742494,5.2702441,1,288
Sub-Saharan Africa,Ghana,2020,54,5.2052364,Moderate,0,71.287903,0,0,19.870607,7.773138,1.0683498,1,288
Europe,Greece,2010,123,1.9137594,Low,.018624619,91.244942,.072504595,.040783837,4.503006,.44404233,3.6760952,1,300
Europe,Greece,2020,125,2.2691691,Moderate,.024676014,89.476364,.085614547,.039002184,5.1202168,.51175165,4.7423711,1,300
Latin America-Caribbean,Grenada,2010,102,2.6562662,Moderate,0,87.474434,.20165356,0,.39466485,6.1561952,5.7730532,1,308
Latin America-Caribbean,Grenada,2020,109,2.6562662,Moderate,0,87.474434,.20165356,0,.39466485,6.1561952,5.7730532,1,308
Latin America-Caribbean,Guadeloupe,2010,157,.9479363,Very low,.21336165,95.815315,.50627196,.35973766,.37462381,.22319515,2.5074975,1,312
Latin America-Caribbean,Guadeloupe,2020,162,.93649852,Very low,.20725809,95.867348,.49992087,.35385525,.36998156,.22520894,2.4764247,1,312
Asia-Pacific,Guam,2010,146,1.3079509,Low,1.0622619,94.15638,0,0,.030575955,3.1037574,1.6470248,1,316
Asia-Pacific,Guam,2020,148,1.3381621,Low,1.0504613,94.016579,0,0,.030216312,3.069622,1.833123,1,316
Latin America-Caribbean,Guatemala,2010,133,1.5338149,Low,.0050883163,92.9916,.0012376986,.0061884932,.0025441581,.90725178,6.0860925,1,320
Latin America-Caribbean,Guatemala,2020,139,1.7556477,Low,.0054714936,91.950264,.0013246774,.0051835203,.0027069494,2.0141091,6.0209422,1,320
Sub-Saharan Africa,Guinea,2010,106,2.5599008,Moderate,.090003364,8.4695692,0,0,87.87899,.19980772,3.3616285,1,324
Sub-Saharan Africa,Guinea,2020,106,2.7131484,Moderate,.085958868,11.708076,0,0,86.807892,.078451402,1.3196203,1,324
Sub-Saharan Africa,Guinea-Bissau,2010,7,7.1278558,Very high,0,26.194811,0,0,53.724461,17.66617,2.4145553,1,624
Sub-Saharan Africa,Guinea-Bissau,2020,6,7.1697803,Very high,0,21.717779,0,0,55.979042,10.680865,11.622312,1,624
Latin America-Caribbean,Guyana,2010,21,6.1170449,High,.026740417,63.898922,24.825644,.012033188,6.7700558,1.3321056,3.1345055,1,328
Latin America-Caribbean,Guyana,2020,31,5.9040136,High,.03135968,65.875511,23.39901,.037631616,6.5048909,1.243247,2.9083457,1,328
Latin America-Caribbean,Haiti,2010,122,1.9245886,Low,.0033526772,91.051422,0,.0022351181,.0019303294,1.3066924,7.6343632,1,332
Latin America-Caribbean,Haiti,2020,121,2.3760362,Moderate,.0031839246,88.718658,0,.0021226162,.0018572893,1.8394874,9.4346876,1,332
Latin America-Caribbean,Honduras,2010,118,2.0865812,Moderate,.12964471,90.110832,0,.011833014,.0023666027,.18026745,9.5650578,1,340
Latin America-Caribbean,Honduras,2020,120,2.4203219,Moderate,.005433836,88.472412,.0012843612,.0059278212,.0027663165,1.7682755,9.7439032,1,340
Asia-Pacific,Hong Kong,2010,38,5.6730618,High,11.862377,18.571289,.10497678,.0077112489,.10497678,1.1547446,68.193924,1,344
Asia-Pacific,Hong Kong,2020,51,5.2329335,Moderate,8.4119825,18.746111,.30339074,.03234078,.26803479,.88335389,71.354782,1,344
Europe,Hungary,2010,56,4.7917185,Moderate,.12419295,72.555061,.035343461,.1515785,.061702374,2.0887375,24.983383,1,348
Europe,Hungary,2020,63,4.707449,Moderate,.19222227,72.368843,.057621021,.13296446,.13922392,.13321792,26.975906,1,348
Europe,Iceland,2010,77,3.6610768,Moderate,.42160276,81.284271,.12599517,.094193012,.72328913,1.4797318,15.870918,1,352
Europe,Iceland,2020,66,4.6484919,Moderate,1.3399417,74.918739,.16047928,.15547425,1.2126484,2.3672984,19.845415,1,352
Asia-Pacific,India,2010,71,3.9518483,Moderate,.69895923,2.3098202,79.973961,.0003678865,14.264813,2.7493122,.0027671971,1,356
Asia-Pacific,India,2020,78,4.034831,Moderate,.68066257,2.2146201,79.366188,.0003013786,15.190016,2.5449524,.0032599971,1,356
Asia-Pacific,Indonesia,2010,104,2.6100383,Moderate,.72118306,9.8761959,1.6939561,5.8936021e-06,87.532166,.07711897,.099378057,1,360
Asia-Pacific,Indonesia,2020,105,2.7168915,Moderate,.67752773,10.262307,1.5842967,.0010590089,86.96418,.41862658,.092005208,1,360
Asia-Pacific,Iran,2010,198,.062453449,Very low,0,.15718226,0,.011692788,99.731812,.099316575,0,1,364
Asia-Pacific,Iran,2020,198,.052850842,Very low,.000018758717,.14260982,.0002192168,.0092421565,99.773109,.074749671,.000050129172,1,364
Middle East-North Africa,Iraq,2010,189,.17746221,Very low,0,.63667291,.00047977164,0,99.234406,.12754408,.0008955737,1,368
Middle East-North Africa,Iraq,2020,193,.11657337,Very low,0,.37498069,.00049345603,0,99.49836,.12536426,.00079892878,1,368
Europe,Ireland,2010,130,1.7745169,Low,.19267985,91.868141,.23686798,.02652177,1.0903929,.44103223,6.1443653,1,372
Europe,Ireland,2020,86,3.6830213,Moderate,.19380386,81.216019,.69491416,.054588255,1.6911991,.54823768,15.601238,1,372
Middle East-North Africa,Israel,2010,66,4.2299109,Moderate,.05138525,1.9643615,.1992712,78.499756,13.857499,1.851164,3.5765636,1,376
Middle East-North Africa,Israel,2020,70,4.457356,Moderate,.042839181,1.8792765,.16612966,77.049393,14.731497,1.7562019,4.3746643,1,376
Europe,Italy,2010,108,2.4626656,Moderate,.41805926,88.495667,.30003983,.0750653,3.4156651,.55651414,6.7389927,1,380
Europe,Italy,2020,81,3.8820968,Moderate,.61356783,80.471794,.42585316,.071020424,4.4194283,.72590345,13.27243,1,380
Sub-Saharan Africa,Ivory Coast,2010,5,7.3426571,Very high,0,40.799046,0,0,43.722313,5.4703279,10.008315,1,384
Sub-Saharan Africa,Ivory Coast,2020,14,6.7618079,High,0,44.914967,0,0,46.320717,3.1999602,5.5643549,1,384
Latin America-Caribbean,Jamaica,2010,48,5.2522531,Moderate,0,70.443039,.03840673,.0073155672,.016460026,7.6454849,21.849297,1,388
